Count_Watershed,Count_baselineObject,ImageNumber,Overlap_Ffactor_baselinePrediction,Overlap_Ffactor_predictionImage,Overlap_Precision_baselinePrediction,Overlap_Precision_predictionImage,Overlap_Recall_baselinePrediction,Overlap_Recall_predictionImage
294,295,1,0.915993937,0.953462794,0.861373929,0.951772644,0.97800987,0.955158958
285,282,2,0.91749461,0.950014182,0.860099943,0.947420074,0.983096891,0.952622536
318,298,3,0.914074136,0.951314984,0.853979049,0.947033567,0.983267328,0.955635289
292,295,4,0.919298668,0.95506136,0.86379468,0.953886862,0.98242539,0.956238753
315,309,5,0.918415637,0.950858342,0.869933113,0.952901788,0.972621099,0.948823642
307,295,6,0.922268965,0.955627077,0.875112187,0.955149868,0.974797438,0.956104763
310,284,7,0.91910388,0.951416146,0.863983492,0.948627711,0.981736682,0.954221022
300,290,8,0.924360539,0.951160078,0.869977228,0.949154105,0.985996343,0.953174548
297,287,9,0.917129367,0.956643782,0.859812893,0.955436928,0.982633237,0.957853688
300,280,10,0.924376043,0.952892605,0.874887911,0.953042869,0.979798452,0.952742389
302,306,11,0.920473075,0.953458548,0.862441841,0.953198924,0.986877207,0.953718314
294,291,12,0.909263425,0.951725008,0.846430202,0.947898104,0.982173292,0.955582938
293,284,13,0.92340594,0.955366898,0.871678568,0.9550823,0.981659848,0.955651666
303,277,14,0.91981052,0.952843209,0.871090873,0.952544928,0.974302752,0.953141677
312,295,15,0.919803689,0.950595649,0.873193133,0.949278915,0.971670935,0.951916042
312,294,16,0.929064214,0.957979368,0.879125115,0.959098108,0.985018641,0.956863235
310,293,17,0.92229902,0.951201164,0.87067323,0.948679472,0.980432912,0.953736297
307,307,18,0.921004629,0.956541297,0.866763912,0.956353088,0.982487121,0.95672958
312,304,19,0.921999367,0.955206828,0.868218056,0.950787138,0.982883572,0.9596678
312,300,20,0.92662656,0.95357165,0.872130264,0.951152561,0.988387345,0.956003076
