Count_Watershed,Count_baselineObject,ImageNumber,Overlap_Ffactor_baselinePrediction,Overlap_Ffactor_predictionImage,Overlap_Precision_baselinePrediction,Overlap_Precision_predictionImage,Overlap_Recall_baselinePrediction,Overlap_Recall_predictionImage
284,272,1,0.919993695,0.954829334,0.862004578,0.950048398,0.98634767,0.959658631
276,261,2,0.90407834,0.953416467,0.835020607,0.947415074,0.985588296,0.959494377
296,271,3,0.920291366,0.953457086,0.863269814,0.9535894,0.985378565,0.953324808
290,269,4,0.913734607,0.948174081,0.861758936,0.941026956,0.972382362,0.955430601
292,261,5,0.926171859,0.953123285,0.876256192,0.948599039,0.982117907,0.957690893
270,245,6,0.921457422,0.953334679,0.870529835,0.950111241,0.97871398,0.956580063
298,286,7,0.912658876,0.953293569,0.850640289,0.949135983,0.984431963,0.957487739
286,263,8,0.918234182,0.954755744,0.856947871,0.950587331,0.988961723,0.958960875
284,278,9,0.921414254,0.953843773,0.86581142,0.954372171,0.984648888,0.953315959
291,264,10,0.918036824,0.956346358,0.87399377,0.95818405,0.96675435,0.954515703
291,269,11,0.92716072,0.954731506,0.8726066,0.955401726,0.988991027,0.954062226
300,269,12,0.929879953,0.954978266,0.885584248,0.957159824,0.978840192,0.95280663
288,268,13,0.928455837,0.95172072,0.883715576,0.948259042,0.97796785,0.955207765
285,258,14,0.917016682,0.953452335,0.860512115,0.949063169,0.981463379,0.957882288
285,272,15,0.924785605,0.953839627,0.870713842,0.95345822,0.986017802,0.954221338
290,278,16,0.921099014,0.955546966,0.865061655,0.952821462,0.984899269,0.958288107
304,268,17,0.927166113,0.956577205,0.878738629,0.954189037,0.981242616,0.958977357
299,272,18,0.915505305,0.953616282,0.86388173,0.952859462,0.973690816,0.954374305
265,257,19,0.925027859,0.955037612,0.86678877,0.953838703,0.991656765,0.956239539
275,275,20,0.921799046,0.956249155,0.863851732,0.956554887,0.988079584,0.955943618
